,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,se@s
39,756,2019,2100000,5000,3,1,0,0,16.0,1368.0,16.77,25.0,5.0
40,402,2018,925000,28900,3,0,1,0,17.8,147.0,117.3,145.0,5.0
41,382,2013,425000,86300,3,0,1,0,16.8,147.0,116.3,146.0,5.0
42,1257,2018,675000,23300,3,0,0,0,18.5,117.0,83.14,115.0,5.0
43,1310,2018,819999,32600,1,0,1,0,24.3,1248.0,88.5,2.0,5.0
44,1050,2018,390000,10300,3,0,1,0,23.5,8.0,67.5,0.0,5.0
45,1851,2014,1500000,77000,1,0,1,0,12.55,282.0,168.5,343.0,7.0
46,1865,2013,700000,99000,1,0,1,0,12.0,244.0,1.0,2.0,7.0
47,1380,2014,1450000,27800,1,0,0,2,14.8,2143.0,12.7,2.0,5.0
48,325,2015,425000,49800,1,0,1,0,24.7,148.0,8.63,2.0,5.0
49,1419,2013,1090000,151000,1,0,1,0,13.5,2477.0,175.56,4.0,7.0
50,386,2015,600000,54700,1,0,1,0,26.0,148.0,8.6,2.0,5.0
51,1125,2018,850000,64000,3,0,1,0,2.65,1462.0,13.25,138.0,5.0
52,441,2015,525000,63000,1,0,1,0,27.3,148.0,8.6,2.0,5.0
53,1904,2016,1650000,127700,1,0,0,2,11.36,2755.0,171.5,36.0,7.0
54,1864,2016,950000,99000,1,0,1,0,12.0,244.0,1.6,2.0,7.0
55,14,2013,1750000,33900,1,0,0,2,17.68,168.0,174.33,38.0,5.0
56,1810,2018,1590000,25000,3,0,0,0,14.28,178.0,138.3,173.0,5.0
57,12,2013,1689999,50000,1,0,0,0,18.53,168.0,187.74,4.0,5.0
58,1405,2013,1425000,59000,1,0,0,0,14.84,2143.0,17.0,4.0,5.0
59,1683,2011,265000,120000,1,1,1,0,21.12,1248.0,88.8,2.0,5.0
60,666,2011,190000,110000,3,1,1,4,2.36,117.0,78.0,111.7,5.0
61,723,2013,425000,60000,1,1,1,0,21.27,136.0,88.76,21.6,5.0
62,1259,2015,630000,147000,1,1,1,2,26.5,1248.0,74.0,1.0,5.0
63,255,2017,600000,25000,3,1,1,4,18.16,116.0,86.8,112.0,5.0
64,1069,2019,650000,30000,3,1,1,0,21.4,117.0,83.1,115.0,5.0
65,1919,2016,540000,40000,1,1,1,0,22.0,148.0,18.45,25.0,5.0
66,389,2015,630000,135000,1,1,1,0,25.1,148.0,8.6,2.0,5.0
67,1320,2018,448000,30000,3,1,0,0,2.51,8.0,67.0,0.0,5.0
68,1917,2017,500000,80000,1,1,1,0,21.66,148.0,18.62,25.0,5.0
69,1310,2016,745000,70000,1,1,1,0,24.3,1248.0,88.5,2.0,5.0
70,1316,2019,1025000,9850,1,1,0,0,24.3,1248.0,88.5,2.0,5.0
71,666,2011,235000,60000,3,1,1,2,2.36,117.0,78.0,111.7,5.0
72,1282,2016,630000,70000,1,1,1,0,25.2,1248.0,74.0,1.0,5.0
73,1851,2015,1700000,78000,1,1,1,2,12.55,282.0,168.5,343.0,7.0
74,1279,2013,450000,120000,1,1,1,2,22.0,1248.0,74.0,1.0,5.0
75,1157,2012,450000,120000,3,1,1,2,16.2,1373.0,3.7,13.0,7.0
76,1967,2013,450000,170000,1,1,1,0,2.54,158.0,13.6,25.0,5.0
77,1882,2016,1200000,140000,1,1,1,0,12.0,244.0,1.6,2.0,8.0
78,201,2015,610000,90000,1,1,1,0,22.77,148.0,8.5,25.0,5.0
79,47,2016,2500000,30000,3,1,0,2,15.71,18.0,18.0,28.0,5.0
80,1099,2017,484999,10000,3,0,1,0,23.1,8.0,67.4,0.0,5.0
81,124,2016,275000,49000,3,0,1,0,1.2,118.0,67.5,14.0,5.0
82,1040,2016,315000,32000,3,0,1,0,24.7,76.0,47.3,6.0,5.0
83,1036,2016,275000,38000,3,0,1,0,24.7,76.0,47.3,6.0,5.0
84,663,2012,290000,28000,3,0,1,0,1.81,186.0,68.5,0.4,5.0
85,1180,2017,280000,32000,3,0,1,0,14.0,76.0,35.0,6.1,5.0
86,1339,2010,225000,44000,2,0,1,0,26.2,8.0,58.2,77.0,5.0
87,1936,2015,455000,42000,3,0,1,0,16.47,118.0,74.0,11.0,5.0
88,667,2015,351000,45000,3,0,1,2,1.81,186.0,68.5,0.4,5.0
89,1971,2012,535000,12000,3,0,1,2,15.4,158.0,13.6,153.0,5.0
90,1367,2009,175000,55500,3,0,1,0,18.2,8.0,67.1,0.0,5.0
91,728,2013,525000,61500,3,0,1,0,18.5,117.0,82.85,113.7,5.0
92,1239,2016,600000,150000,1,1,1,0,26.5,1248.0,74.0,1.0,5.0
93,653,2016,565000,72000,3,0,0,0,1.1,117.0,82.0,114.0,5.0
94,1056,2008,120000,68000,3,0,1,4,1.7,76.0,46.3,62.0,5.0
95,687,2017,725000,110000,1,1,1,0,22.54,136.0,88.73,21.7,5.0
96,1345,2009,185000,77000,3,0,1,2,21.7,8.0,67.5,0.0,5.0
97,1668,2010,200000,100000,1,1,1,2,18.8,1248.0,0.0,2.0,5.0
98,1288,2019,615000,10000,3,1,1,0,21.21,117.0,81.8,113.0,5.0
99,1132,2016,270000,100000,3,1,1,4,15.37,116.0,73.0,11.0,7.0
100,1079,2018,610000,35000,3,1,1,0,21.4,117.0,83.1,115.0,5.0
101,929,2014,625000,70000,1,1,0,2,11.7,217.0,12.0,2.0,8.0
102,293,2020,400000,5000,3,1,1,2,1.0,114.0,4.68,12.0,5.0
103,632,2017,866000,37800,3,1,1,0,17.0,151.0,121.3,151.0,5.0
104,1930,2010,700000,114000,3,1,1,0,14.3,178.0,16.0,25.0,5.0
105,1615,2010,300000,48000,3,1,1,0,15.8,1172.0,65.0,6.0,5.0
106,977,2019,1700000,32000,1,1,1,0,15.1,217.0,155.0,36.0,7.0
107,1638,2016,375000,100000,1,1,1,0,1.0,145.0,6.1,135.0,5.0
108,598,2013,522000,150000,1,1,1,2,22.32,1582.0,126.32,25.8,5.0
109,736,2013,451999,69000,1,1,1,0,21.0,136.0,88.76,21.6,5.0
110,1815,2009,300000,100000,3,1,1,2,14.53,178.0,138.1,173.0,5.0
111,1086,2020,475000,13000,3,1,1,0,21.63,8.0,67.4,0.0,5.0
112,1318,2016,780000,60000,1,1,1,0,24.3,1248.0,88.5,2.0,5.0
113,1252,2017,595000,40000,3,1,1,0,2.85,117.0,83.14,115.0,5.0
114,1349,2017,440000,35000,3,1,1,0,2.51,8.0,67.4,0.0,5.0
115,1451,2014,400000,70000,1,1,1,4,2.45,1461.0,83.8,2.0,5.0
116,472,2016,1140000,50000,1,1,1,0,1.67,1582.0,126.2,25.0,5.0
117,188,2017,850000,76139,1,1,1,0,23.0,148.0,8.6,25.0,5.0
118,1251,2012,370000,175000,1,1,1,1,1.3,1248.0,73.0,1.0,5.0
119,1485,2018,350000,25000,3,1,1,0,23.1,0.0,67.0,1.0,5.0
120,1086,2015,360000,40000,3,1,1,2,23.1,8.0,67.4,0.0,5.0
121,1058,2008,105000,65000,3,1,1,1,1.7,76.0,46.3,62.0,5.0
122,1150,2013,625000,90000,1,1,1,2,2.77,1248.0,88.76,2.0,7.0
123,574,2009,135000,80000,3,1,1,2,17.2,186.0,62.1,6.1,5.0
124,1150,2015,700000,110000,1,1,1,2,2.77,1248.0,88.76,2.0,7.0
125,331,2019,690000,1303,3,0,1,0,17.8,118.0,86.7,1.0,5.0
126,21,2018,3975000,31800,1,0,0,0,17.1,168.0,188.0,4.0,5.0
127,771,2019,5150000,20000,3,0,0,0,22.37,2487.0,214.56,22.0,5.0
128,751,2017,3200000,45000,1,0,0,0,1.33,1.0,177.0,43.0,5.0
129,765,2017,4100000,17000,3,1,0,0,0.5,364.0,28.0,347.0,5.0
130,768,2019,4500000,21000,1,0,0,0,12.83,1.0,148.31,382.0,7.0
131,1414,2017,6000000,37000,1,0,0,0,13.5,287.0,254.7,62.0,5.0
132,38,2018,3790000,29500,1,0,0,0,22.48,15.0,187.74,4.0,5.0
133,49,2019,5800000,7500,1,0,0,0,16.78,15.0,1.0,4.0,5.0
134,1568,2018,1864999,50000,3,0,0,0,14.67,178.0,177.46,25.0,5.0
135,1389,2016,2700000,35000,1,0,0,0,15.0,2143.0,24.0,5.0,5.0
136,772,2019,1750000,19000,3,0,0,0,13.6,1451.0,141.0,25.0,5.0
137,409,2017,795000,41000,3,0,0,0,18.0,147.0,117.6,145.0,5.0
138,1806,2013,625000,39000,3,0,0,0,14.28,178.0,138.3,173.0,5.0
139,1979,2018,3400000,22000,1,0,0,0,18.0,16.0,1.0,4.0,5.0
140,25,2015,2650000,53000,1,0,0,0,12.7,267.0,241.4,55.0,7.0
141,1120,2015,535000,40000,1,0,1,0,26.21,1248.0,88.5,2.0,5.0
142,1414,2017,5850000,47000,1,0,0,0,13.5,287.0,282.0,4.0,5.0
143,39,2010,975000,72200,3,0,0,2,1.8,247.0,15.0,25.0,5.0
144,505,2016,805000,49900,3,0,1,0,16.3,177.0,147.5,177.5,5.0
145,750,2017,2625000,9000,1,0,0,0,13.6,1.0,177.0,43.0,5.0
146,1717,2018,811000,11000,3,0,1,0,17.0,118.0,18.5,17.0,5.0
147,1971,2011,375000,49000,3,1,1,0,15.4,158.0,13.6,153.0,5.0
148,506,2012,550000,95000,3,1,1,0,16.3,177.0,147.5,177.5,5.0
149,1553,2016,645000,11000,3,0,0,0,14.3,158.0,13.5,153.0,5.0
150,1383,2018,2550000,18000,3,0,0,0,15.4,11.0,183.0,3.0,5.0
151,1157,2014,599000,46100,3,0,1,0,16.2,1373.0,3.7,13.0,7.0
152,1407,2017,2700000,16000,3,0,0,0,14.74,11.0,181.4,3.0,5.0
153,381,2017,875000,18000,3,0,0,0,15.6,147.0,116.3,146.0,5.0
154,1854,2019,894999,9654,3,0,0,0,1.56,117.0,81.8,113.0,5.0
155,1050,2011,175000,11000,3,0,1,0,23.5,8.0,67.5,0.0,5.0
156,1288,2012,340000,24300,3,0,1,0,21.21,117.0,81.8,113.0,5.0
157,1904,2016,1525000,42163,1,0,0,2,11.36,2755.0,171.5,36.0,7.0
158,1725,2018,1025000,8000,1,0,0,0,21.5,147.0,18.5,26.0,5.0
159,30,2016,2150000,30000,1,0,0,0,22.6,15.0,1.0,4.0,5.0
160,1800,2016,1900000,41000,3,0,0,0,1.16,244.0,157.7,213.0,5.0
161,37,2016,2900000,12000,1,0,0,0,18.12,15.0,1.0,4.0,5.0
162,1802,2009,450000,71000,3,0,0,0,12.1,2362.0,164.7,224.0,5.0
163,1142,2016,850000,20000,3,1,1,0,17.5,1373.0,1.1,13.0,7.0
164,1981,2017,10000000,30000,3,1,0,0,42.0,16.0,4.0,64.0,4.0
165,1967,2011,300000,100000,1,1,1,2,2.54,158.0,13.6,25.0,5.0
166,269,2018,575000,9500,3,1,1,0,18.16,116.0,86.8,112.0,5.0
167,281,2011,160000,120000,1,1,1,0,2.0,13.0,68.0,16.0,5.0
168,1294,2015,515000,36600,3,1,1,0,2.4,117.0,81.8,113.0,5.0
169,1320,2015,390000,50000,3,1,0,2,2.51,8.0,67.0,0.0,5.0
170,734,2016,550000,14000,3,1,1,2,18.6,117.0,81.83,114.7,5.0
171,1020,1999,40000,40000,3,1,1,2,16.1,76.0,37.0,5.0,4.0
172,1192,2010,220000,120000,1,1,1,0,21.1,1248.0,73.0,113.0,5.0
173,550,2015,425000,70000,3,1,1,0,18.0,117.0,82.0,114.0,5.0
174,1912,2019,480000,13000,3,1,1,0,1.44,0.0,75.0,5.0,5.0
175,555,2014,400000,60000,3,1,1,2,18.0,117.0,82.0,114.0,5.0
176,1252,2014,487000,35000,3,1,1,0,1.1,117.0,85.8,114.0,5.0
177,649,2016,386000,44000,3,1,1,2,1.1,117.0,82.0,114.0,5.0
178,365,2005,100000,120000,3,1,1,2,13.0,143.0,1.0,13.1,5.0
179,1813,2010,300000,60000,1,1,1,0,21.43,1364.0,87.2,25.0,5.0
180,150,2000,100000,60000,3,1,1,0,18.5,76.0,53.0,71.0,5.0
181,1849,2014,1750000,30000,1,1,1,2,13.0,282.0,168.5,343.0,7.0
182,845,2016,450000,15000,3,1,1,2,18.15,118.0,82.0,115.0,6.0
183,1791,2017,490000,90000,1,1,1,0,22.5,1248.0,74.0,1.0,5.0
184,368,2009,345000,47000,3,1,1,2,17.0,147.0,118.0,146.0,5.0
185,1375,2005,85000,90000,3,1,1,0,17.3,3.0,6.0,78.0,5.0
186,1350,2010,215000,120600,3,1,1,2,18.0,8.0,67.1,0.0,5.0
187,628,2010,320000,100000,3,1,1,4,16.2,15.0,13.2,14.0,5.0
188,1252,2016,459999,60000,3,1,1,2,2.85,117.0,83.14,115.0,5.0
189,527,2005,65000,86000,3,1,1,0,15.3,1341.0,83.0,115.0,5.0
190,518,2020,720000,5000,3,1,1,0,18.6,117.0,81.86,117.0,5.0
191,1103,2017,800000,37000,1,1,1,0,28.0,1248.0,88.5,2.0,5.0
192,1778,2019,520000,14000,3,1,1,0,2.3,11.0,84.0,114.0,5.0
193,1150,2015,580000,70000,1,1,1,0,2.77,1248.0,88.76,2.0,7.0
194,399,2015,600000,50000,3,1,1,0,17.4,147.0,117.3,145.0,5.0
195,355,2014,290000,60000,3,1,1,2,1.4,118.0,86.8,1.0,5.0
196,1335,2016,360000,50000,0,1,1,0,26.6,8.0,58.16,77.0,5.0
197,1252,2017,550000,50000,3,1,1,0,2.85,117.0,83.14,115.0,5.0
198,740,2013,375000,70000,3,1,1,0,18.5,117.0,82.85,113.7,5.0
199,1320,2018,420000,35000,3,1,0,0,2.51,8.0,67.0,0.0,5.0
200,1253,2017,550000,20000,3,1,1,0,21.21,117.0,81.8,113.0,5.0
201,1033,2018,270000,20000,3,1,1,0,24.7,76.0,47.3,6.0,5.0
202,1234,2018,700000,7800,3,1,0,0,22.0,117.0,81.8,113.0,5.0
203,1294,2017,500000,20000,3,1,1,0,2.4,117.0,81.8,113.0,5.0
204,1582,2019,1250000,15000,1,1,1,0,17.6,217.0,147.4,32.0,7.0
205,733,2013,320000,31377,3,1,1,2,18.5,117.0,82.85,113.7,5.0
206,1249,2018,700000,50000,1,1,1,0,28.4,1248.0,74.2,1.0,5.0
207,1349,2015,290000,60000,3,1,1,0,2.51,8.0,67.4,0.0,5.0
208,1809,2012,550000,100000,3,1,0,0,14.53,174.0,138.1,173.0,5.0
209,355,2012,265000,60000,3,1,1,0,1.4,118.0,86.8,1.0,5.0
210,1065,2018,830000,5000,3,1,0,0,21.4,117.0,83.1,115.0,5.0
211,1728,2017,800000,60000,1,1,1,0,14.1,217.0,147.4,32.0,7.0
212,1058,2011,160000,25000,3,1,1,2,1.7,76.0,46.3,62.0,5.0
213,1498,2018,335000,30000,3,1,1,0,25.17,7.0,53.3,72.0,5.0
214,137,2017,329000,80000,3,1,1,2,2.63,118.0,67.0,14.0,5.0
215,1312,2017,775000,75000,1,1,1,0,24.3,1248.0,88.5,2.0,5.0
216,658,2020,524000,32000,3,1,1,0,2.14,117.0,81.86,113.75,5.0
217,1033,2015,245000,40000,3,1,1,0,22.74,76.0,47.3,6.0,5.0
218,682,2012,275000,93000,3,1,1,2,17.0,117.0,8.0,11.4,5.0
219,1797,2018,520000,60000,3,1,1,0,17.57,113.0,88.7,14.0,5.0
220,1441,2014,550000,37000,3,1,1,0,16.5,148.0,7.7,134.0,5.0
221,193,2018,910000,15000,3,1,1,0,17.0,147.0,121.36,15.0,5.0
222,1427,2015,300000,80000,3,1,1,0,1.4,118.0,67.4,14.0,5.0
223,1341,2016,350000,140000,3,1,1,0,2.51,8.0,67.4,0.0,5.0
224,930,2013,900000,70000,1,1,1,0,12.83,266.0,162.0,34.0,7.0
225,862,2013,300000,120000,1,1,1,2,17.21,143.0,1.0,24.0,7.0
226,1189,2010,250000,110000,1,1,1,2,21.1,1248.0,73.0,1.0,5.0
227,475,2017,1100000,37000,1,1,1,0,1.67,1582.0,126.2,25.0,5.0
228,1498,2016,270000,44000,3,1,1,0,25.17,7.0,53.3,72.0,5.0
229,1150,2015,640000,80000,1,1,1,0,2.77,1248.0,88.76,2.0,7.0
230,979,2015,650000,125000,1,1,1,0,15.1,217.0,14.0,33.0,7.0
231,1131,2017,409999,13500,3,1,1,0,15.37,116.0,73.0,11.0,5.0
232,574,2011,165000,75000,3,1,1,0,17.2,186.0,62.1,6.1,5.0
233,457,2007,80000,120000,3,1,1,2,13.2,145.0,4.0,12.5,5.0
234,985,2012,535000,120000,1,1,1,0,15.1,217.0,14.0,33.0,7.0
235,1859,2013,700000,70000,1,1,1,0,12.0,244.0,1.57,2.0,7.0
236,1249,2013,550000,70000,1,1,1,0,23.4,1248.0,74.0,1.0,5.0
237,323,2019,680000,15000,3,1,0,0,1.0,11.0,88.76,11.0,5.0
238,673,2009,200000,53000,3,1,1,2,2.36,117.0,78.0,111.8,5.0
239,1249,2014,500000,120000,1,1,1,2,23.4,1248.0,74.0,1.0,5.0
240,1149,2016,1000000,70000,1,1,1,0,24.52,1248.0,88.5,2.0,7.0
241,524,2008,110000,120000,3,1,1,2,14.2,1341.0,82.0,11.8,5.0
242,680,2012,320000,100000,3,1,1,2,18.5,117.0,8.0,11.4,5.0
243,1274,2015,350000,100000,3,1,1,0,2.4,117.0,83.11,113.0,5.0
244,1627,2013,170000,162500,1,1,1,0,1.4,145.0,7.0,135.4,5.0
245,695,2017,800000,39000,1,1,1,0,22.54,136.0,88.73,21.7,5.0
246,1174,2017,500000,75000,1,1,1,0,26.8,1248.0,74.0,1.0,5.0
247,1585,2017,1380000,50000,1,1,0,0,17.6,217.0,153.86,4.0,7.0
248,855,2019,1300000,40000,1,1,1,0,17.3,147.0,121.0,3.0,8.0
249,591,2013,530000,92500,1,1,1,0,22.32,1582.0,126.3,25.0,5.0
250,1249,2012,360000,158000,1,1,1,0,23.4,1248.0,74.0,1.0,5.0
251,1242,2012,310000,120000,1,1,1,0,1.3,1248.0,73.0,1.0,5.0
252,388,2015,725000,50000,1,1,1,2,26.0,148.0,8.6,2.0,5.0
253,1261,2012,340000,110000,1,1,1,0,1.3,1248.0,73.0,1.0,5.0
254,641,2017,550000,2000,1,1,1,2,25.4,1186.0,73.7,1.25,5.0
255,1845,2011,1150000,181000,1,1,1,2,11.5,282.0,171.0,343.0,7.0
256,1755,2016,380000,70000,1,1,1,0,27.28,147.0,6.0,14.0,5.0
257,1442,2013,350000,90000,3,1,0,2,17.7,148.0,0.6,134.0,5.0
258,512,2019,610000,2000,3,1,1,0,18.6,117.0,81.86,117.0,5.0
259,1252,2015,525000,20000,3,1,1,0,2.85,117.0,83.14,115.0,5.0
260,1875,2011,480000,120000,1,1,1,0,12.8,244.0,12.0,2.4,7.0
261,946,2017,780000,35000,1,1,1,0,16.55,248.0,15.0,247.0,6.0
262,1261,2012,320000,193000,1,1,1,0,1.3,1248.0,73.0,1.0,5.0
263,1220,2014,375000,80000,3,1,1,0,2.4,117.0,81.8,113.0,5.0
264,127,2019,300000,40000,3,1,1,0,1.2,118.0,67.5,14.0,5.0
265,723,2015,500000,70000,1,1,1,1,22.54,136.0,88.73,21.7,5.0
266,894,2011,404000,122358,1,1,1,0,12.5,217.0,12.0,2.0,9.0
267,1743,2015,500000,75000,1,1,1,0,14.7,256.0,6.1,223.0,7.0
268,1771,2017,350000,120000,1,1,1,0,27.28,147.0,6.0,14.0,5.0
269,1797,2015,380000,40000,3,1,1,0,17.57,113.0,88.7,14.0,5.0
270,457,2008,114999,95200,3,1,1,4,13.2,145.0,4.0,12.5,5.0
271,354,2014,335000,33033,3,0,1,0,1.4,118.0,86.8,1.0,5.0
272,541,2015,465000,63063,3,0,0,0,18.0,117.0,82.0,114.0,5.0
273,1680,2012,290000,60000,1,1,1,0,21.2,1248.0,88.76,2.0,5.0
274,1055,2005,110000,45000,3,1,1,2,1.7,76.0,46.3,62.0,5.0
275,1700,2011,450000,80000,1,1,1,4,11.57,217.0,138.1,32.0,7.0
276,815,2009,400000,170000,1,1,1,2,13.6,2523.0,63.0,18.0,7.0
277,801,2007,210000,207890,1,1,1,2,13.6,2523.0,63.0,18.0,7.0
278,1393,2018,4600000,7976,1,1,0,0,17.0,2143.0,17.0,4.0,5.0
279,1182,2016,220000,35000,3,1,1,0,16.8,76.0,34.2,5.0,8.0
280,555,2017,450000,35000,3,1,1,0,18.0,117.0,82.0,114.0,5.0
281,555,2017,450000,35000,3,1,1,0,18.0,117.0,82.0,114.0,5.0
282,675,2013,290000,50000,3,1,0,0,16.5,117.0,78.0,111.8,5.0
283,1293,2016,520000,20000,3,1,1,0,2.4,117.0,81.8,113.0,5.0
284,675,2011,265000,20000,3,1,0,0,16.5,117.0,78.0,111.8,5.0
285,1288,2012,330000,50000,3,1,1,2,18.6,117.0,85.8,114.0,5.0
286,1288,2012,330000,50000,3,1,1,2,18.6,117.0,85.8,114.0,5.0
287,793,2014,509999,120000,1,1,1,0,15.6,2523.0,62.1,15.0,7.0
288,601,2014,500000,70000,3,1,1,0,17.1,151.0,121.3,154.0,5.0
289,704,2015,525000,50000,3,1,1,0,17.1,117.0,81.86,114.73,5.0
290,1078,2019,675000,16500,3,1,1,0,21.1,117.0,81.8,113.0,5.0
291,677,2010,300000,70000,3,1,1,0,17.0,117.0,8.0,11.4,5.0
292,1057,2005,90000,99361,3,1,1,2,1.7,76.0,46.3,62.0,5.0
293,1249,2017,650000,25000,1,1,1,0,26.5,1248.0,74.0,1.0,5.0
294,1252,2014,409000,70000,3,1,1,2,1.1,117.0,85.8,114.0,5.0
295,549,2015,395000,80000,1,1,1,2,24.0,112.0,7.0,16.0,5.0
296,1252,2014,400000,70000,3,1,1,2,1.1,117.0,85.8,114.0,5.0
297,61,2012,120000,60000,3,1,1,4,18.6,11.0,7.4,18.0,5.0
298,1780,2018,645000,10000,3,1,0,0,2.3,11.0,84.0,114.0,5.0
299,1020,2006,81000,80000,3,1,1,0,16.1,76.0,37.0,5.0,4.0
300,406,2017,1300000,30000,1,1,1,0,25.6,148.0,7.0,2.0,5.0
301,406,2017,1250000,33000,1,1,1,0,25.6,148.0,7.0,2.0,5.0
302,1151,2013,535000,90000,3,1,1,4,16.2,1373.0,3.7,13.0,7.0
303,1456,2014,555000,80100,1,1,1,2,1.1,1461.0,18.5,248.0,5.0
304,402,2014,725000,120000,3,1,1,0,17.4,147.0,117.3,145.0,5.0
305,1497,2016,229999,40000,3,1,1,0,25.17,7.0,53.3,72.0,5.0
306,1873,2013,800000,160000,1,1,1,2,12.0,244.0,1.6,2.0,8.0
307,1349,2017,409999,47000,3,1,1,0,2.51,8.0,67.4,0.0,5.0
308,466,2018,1210000,25000,1,1,1,0,21.38,136.0,88.7,21.7,5.0
309,1762,2017,400000,26000,3,1,1,0,23.84,11.0,84.0,114.0,5.0
310,531,2018,520000,29000,1,1,1,0,24.0,1186.0,73.7,1.24,5.0
311,1081,2016,650000,50000,3,1,0,0,21.4,117.0,83.1,115.0,5.0
312,1304,2011,325000,58000,3,1,1,4,16.1,128.0,88.2,11.5,5.0
313,1257,2012,420000,120000,3,1,0,0,17.4,117.0,85.8,114.0,5.0
314,1273,2014,400000,50000,3,1,1,0,2.4,117.0,81.8,113.0,5.0
315,677,2010,254999,80000,3,1,1,1,17.0,117.0,8.0,11.4,5.0
316,1375,2003,65000,60000,3,1,1,1,17.3,3.0,6.0,78.0,5.0
317,1084,2017,351000,36000,3,1,1,0,23.1,8.0,67.4,0.0,5.0
318,1879,2007,404000,120000,1,1,1,4,12.8,244.0,12.0,2.4,8.0
319,1189,2011,185000,185000,1,1,1,4,21.1,1248.0,73.0,1.0,5.0
320,1430,2011,250000,50000,1,1,1,0,23.8,1461.0,63.1,16.0,5.0
321,1375,2002,60000,100000,3,1,1,1,17.3,3.0,6.0,78.0,5.0
322,601,2013,500000,50000,3,1,1,2,17.1,151.0,121.3,154.0,5.0
323,1367,2007,85000,80000,3,1,1,2,18.2,8.0,67.1,0.0,5.0
324,1055,2005,85000,80000,3,1,1,1,1.7,76.0,46.3,62.0,5.0
325,1261,2011,265000,90000,1,1,1,1,1.3,1248.0,73.0,1.0,5.0
326,1026,2010,130000,162000,3,1,1,2,1.0,8.0,66.1,0.0,5.0
327,1150,2013,480000,110000,1,1,1,4,2.77,1248.0,88.76,2.0,7.0
328,1276,2008,170000,120000,1,1,1,4,17.8,1248.0,75.0,1.0,5.0
329,1430,2011,275000,45000,1,1,1,0,23.8,1461.0,63.1,16.0,5.0
