User ID,Gender,Age,EstimatedSalary,Purchased
15789863,0,27,89000,0
15720943,0,26,86000,0
15697997,1,38,80000,0
15665416,1,39,71000,0
15660200,1,37,71000,0
15619653,0,38,61000,0
15773447,0,37,55000,0
15739160,0,42,80000,0
15689237,0,40,57000,0
15679297,0,35,75000,0
15591433,0,36,52000,0
15642725,0,40,59000,0
15701962,0,41,59000,0
15811613,1,36,75000,0
15741049,0,37,72000,0
15724423,1,40,75000,0
15574305,0,35,53000,0
15678168,1,41,51000,0
15697020,1,39,61000,0
15610801,0,42,65000,0
15745232,0,26,32000,0
15722758,0,30,17000,0
15792102,1,26,84000,0
15675185,0,31,58000,0
15801247,0,33,31000,0
15725660,0,30,87000,0
15638963,1,21,68000,0
15800061,1,28,55000,0
15578006,0,23,63000,0
15668504,1,20,82000,0
15687491,0,30,107000,1
15610403,1,28,59000,0
15741094,0,19,25000,0
15807909,0,19,85000,0
15666141,1,18,68000,0
15617134,0,35,59000,0
15783029,0,30,89000,0
15622833,1,34,25000,0
15746422,1,24,89000,0
15750839,1,27,96000,1
15749130,1,41,30000,0
15779862,0,29,61000,0
15767871,0,20,74000,0
15679651,1,26,15000,0
15576219,0,41,45000,0
15699247,0,31,76000,0
15619087,1,36,50000,0
15605327,0,40,47000,0
15610140,1,31,15000,0
15791174,0,46,59000,0
15602373,0,29,75000,0
15762605,0,26,30000,0
15598840,1,32,135000,1
15744279,0,32,100000,1
15670619,0,25,90000,0
15599533,1,37,33000,0
15757837,0,35,38000,0
15697574,1,33,69000,0
15578738,1,18,86000,0
15762228,1,22,55000,0
15614827,1,35,71000,0
15789815,0,29,148000,1
15579781,1,29,47000,0
15587013,0,21,88000,0
15570932,0,34,115000,0
15794661,1,26,118000,0
15581654,1,34,43000,0
15644296,1,34,72000,0
15614420,1,23,28000,0
15609653,1,35,47000,0
15594577,0,25,22000,0
15584114,0,24,23000,0
15673367,1,31,34000,0
15685576,0,26,16000,0
15774727,1,31,71000,0
15694288,1,32,117000,1
15603319,0,33,43000,0
15759066,1,33,60000,0
15814816,0,31,66000,0
15724402,1,20,82000,0
15571059,1,33,41000,0
15674206,0,35,72000,0
15715160,0,28,32000,0
15730448,0,24,84000,0
15662067,1,19,26000,0
15779581,0,29,43000,0
15662901,0,19,70000,0
15689751,0,28,89000,0
15667742,0,34,43000,0
15738448,1,30,79000,0
15680243,1,20,36000,0
15745083,0,26,80000,0
15708228,0,35,22000,0
15628523,0,35,39000,0
15708196,0,49,74000,0
15735549,1,39,134000,1
15809347,1,41,71000,0
15660866,1,58,101000,1
15766609,1,47,47000,0
15654230,1,55,130000,1
15794566,1,52,114000,0
15800890,1,40,142000,1
15697424,1,46,22000,0
15724536,1,48,96000,1
15735878,0,52,150000,1
15707596,1,59,42000,0
15657163,0,35,58000,0
15622478,0,47,43000,0
15779529,1,60,108000,1
15636023,0,49,65000,0
15582066,0,40,78000,0
15666675,1,46,96000,0
15732987,0,59,143000,1
15789432,1,41,80000,0
15663161,0,35,91000,1
15694879,0,37,144000,1
15593715,0,60,102000,1
15575002,1,35,60000,0
15622171,0,37,53000,0
15795224,1,36,126000,1
15685346,0,56,133000,1
15691808,1,40,72000,0
15721007,1,42,80000,1
15794253,1,35,147000,1
15694453,0,39,42000,0
15813113,0,40,107000,1
15614187,0,49,86000,1
15619407,1,38,112000,0
15646227,0,46,79000,1
15660541,0,40,57000,0
15753874,1,37,80000,0
15617877,1,46,82000,0
15772073,1,53,143000,1
15701537,0,42,149000,1
15736228,0,38,59000,0
15780572,1,50,88000,1
15769596,1,56,104000,1
15586996,1,41,72000,0
15722061,1,51,146000,1
15638003,1,35,50000,0
15775590,1,57,122000,1
15730688,0,41,52000,0
15753102,1,35,97000,1
15810075,1,44,39000,0
15723373,0,37,52000,0
15795298,1,48,134000,1
15584320,1,37,146000,1
15724161,1,50,44000,0
15750056,1,52,90000,1
15609637,1,41,72000,0
15794493,0,40,57000,0
15569641,1,58,95000,1
15815236,1,45,131000,1
15811177,1,35,77000,0
15680587,0,36,144000,1
15672821,1,55,125000,1
15767681,1,35,72000,0
15600379,0,48,90000,1
15801336,1,42,108000,1
15721592,0,40,75000,0
15581282,0,37,74000,0
15746203,1,47,144000,1
15583137,0,40,61000,0
15680752,1,43,133000,0
15688172,1,59,76000,1
15791373,0,60,42000,1
15589449,0,39,106000,1
15692819,1,57,26000,1
15727467,0,57,74000,1
15734312,0,38,71000,0
15764604,0,49,88000,1
15613014,1,52,38000,1
15759684,1,50,36000,1
15609669,1,59,88000,1
15685536,0,35,61000,0
15750447,0,37,70000,1
15663249,1,52,21000,1
15638646,0,48,141000,0
15734161,1,37,93000,1
15631070,1,37,62000,0
15761950,1,48,138000,1
15649668,0,41,79000,0
15713912,1,37,78000,1
15586757,0,39,134000,1
15596522,0,49,89000,1
15625395,0,55,39000,1
15760570,0,37,77000,0
15566689,1,35,57000,0
15725794,1,36,63000,0
15673539,0,42,73000,1
15705298,1,43,112000,1
15675791,0,45,79000,0
15747043,0,46,117000,1
15736397,1,58,38000,1
15678201,0,48,74000,1
15720745,1,37,137000,1
15637593,0,37,79000,1
15598070,1,40,60000,0
15787550,0,42,54000,0
15603942,1,51,134000,0
15733973,1,47,113000,1
15596761,0,36,125000,1
15652400,1,38,50000,0
15717893,1,42,70000,0
15622585,0,39,96000,1
15733964,1,38,50000,0
15753861,1,49,141000,1
15747097,1,39,79000,0
15594762,1,39,75000,1
15667417,1,54,104000,1
15684861,0,35,55000,0
15742204,0,45,32000,1
15623502,0,36,60000,0
15774872,1,52,138000,1
15611191,1,53,82000,1
15674331,0,41,52000,0
15619465,1,48,30000,1
15575247,1,48,131000,1
15695679,1,41,60000,0
15713463,0,41,72000,0
15785170,1,42,75000,0
15796351,0,36,118000,1
15639576,1,47,107000,1
15693264,0,38,51000,0
15589715,1,48,119000,1
15769902,0,42,65000,0
15587177,0,40,65000,0
15814553,0,57,60000,1
15601550,1,36,54000,0
15664907,0,58,144000,1
15612465,0,35,79000,0
15810800,1,38,55000,0
15665760,0,39,122000,1
15588080,1,53,104000,1
15776844,0,35,75000,0
15717560,1,38,65000,0
15629739,1,47,51000,1
15729908,0,47,105000,1
15716781,1,41,63000,0
15646936,0,53,72000,1
15768151,1,54,108000,1
15579212,0,39,77000,0
15721835,0,38,61000,0
15800515,1,38,113000,1
15591279,0,37,75000,0
15587419,1,42,90000,1
15750335,1,37,57000,0
15699619,0,36,99000,1
15606472,0,60,34000,1
15778368,0,54,70000,1
15671387,1,41,72000,0
15573926,0,40,71000,1
15709183,0,42,54000,0
15577514,0,43,129000,1
15778830,1,53,34000,1
15768072,1,47,50000,1
15768293,1,42,79000,0
15654456,0,42,104000,1
15807525,1,59,29000,1
15574372,1,58,47000,1
15671249,0,46,88000,1
15779744,0,38,71000,0
15624755,1,54,26000,1
15611430,1,60,46000,1
15774744,0,60,83000,1
15629885,1,39,73000,0
15708791,0,59,130000,1
15793890,1,37,80000,0
15646091,1,46,32000,1
15596984,1,46,74000,0
15800215,1,42,53000,0
15577806,0,41,87000,1
15749381,1,58,23000,1
15683758,0,42,64000,0
15670615,0,48,33000,1
15715622,1,44,139000,1
15707634,0,49,28000,1
15806901,1,57,33000,1
15775335,0,56,60000,1
15724150,1,49,39000,1
15627220,0,39,71000,0
15672330,0,47,34000,1
15668521,1,48,35000,1
15807837,0,48,33000,1
15592570,0,47,23000,1
15748589,1,45,45000,1
15635893,0,60,42000,1
15757632,1,39,59000,0
15691863,1,46,41000,1
15706071,0,51,23000,1
15654296,1,50,20000,1
15755018,0,36,33000,0
15594041,1,49,36000,1
