,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
10,35,1.0,0.0,809,0.0,16,3,0.0,1,14,1,0.0,84,4,1,0.0,2,0.0,2426,16479,0,1.0,1.0,13,3,3,80,1,6,5,3,5,4,0,3
11,29,1.0,0.0,153,0.0,15,2,0.0,1,15,4,1.0,49,2,2,0.0,3,0.0,4193,12682,0,1.0,0.0,12,3,4,80,0,10,3,3,9,5,0,8
12,31,1.0,0.0,670,0.0,26,1,0.0,1,16,1,0.0,31,3,1,0.0,3,1.0,2911,15170,1,1.0,1.0,17,3,4,80,1,5,1,2,5,2,4,3
13,34,1.0,0.0,1346,0.0,19,2,0.0,1,18,2,0.0,93,3,1,0.0,4,1.0,2661,8758,0,1.0,1.0,11,3,3,80,1,3,2,3,2,2,1,2
14,28,0.0,0.0,103,0.0,24,3,0.0,1,19,3,0.0,50,2,1,0.0,3,0.0,2028,12947,5,1.0,0.0,14,3,2,80,0,6,4,3,4,2,0,3
15,29,1.0,0.0,1389,0.0,21,4,0.0,1,20,2,1.0,51,4,3,0.0,1,1.0,9980,10195,1,1.0,1.0,11,3,3,80,1,10,1,3,10,9,8,8
16,32,1.0,0.0,334,0.0,5,2,0.0,1,21,1,0.0,80,4,1,0.0,2,1.0,3298,15053,0,1.0,0.0,12,3,4,80,2,7,5,2,6,2,0,5
17,22,1.0,1.0,1123,0.0,16,2,0.0,1,22,4,0.0,96,4,1,0.0,4,1.0,2935,7324,1,1.0,0.0,13,3,2,80,2,1,2,2,1,0,0,0
18,53,1.0,0.0,1219,0.0,2,4,0.0,1,23,1,1.0,78,2,4,0.0,4,0.0,15427,22021,2,1.0,1.0,16,3,3,80,0,31,3,3,25,8,3,7
19,38,1.0,0.0,371,0.0,2,3,0.0,1,24,4,0.0,45,3,1,0.0,4,0.0,3944,4306,5,1.0,0.0,11,3,3,80,0,6,3,3,3,2,1,2
20,24,1.0,1.0,673,0.0,11,2,0.0,1,26,1,1.0,96,4,2,0.0,3,1.0,4011,8232,0,1.0,1.0,18,3,4,80,1,5,5,2,4,2,1,3
21,36,0.0,0.0,1218,0.0,9,4,0.0,1,27,3,0.0,82,2,1,0.0,1,0.0,3407,6986,7,1.0,1.0,23,4,2,80,0,10,4,3,5,3,0,3
22,34,1.0,0.0,419,0.0,7,4,0.0,1,28,1,1.0,53,3,3,0.0,2,0.0,11994,21293,0,1.0,1.0,11,3,3,80,0,13,4,3,12,6,2,11
23,21,1.0,0.0,391,0.0,15,2,0.0,1,30,3,0.0,96,3,1,0.0,4,0.0,1232,19281,1,1.0,1.0,14,3,4,80,0,0,6,3,0,0,0,0
24,34,0.0,0.0,699,0.0,6,1,0.0,1,31,2,0.0,83,3,1,0.0,1,0.0,2960,17102,2,1.0,1.0,11,3,3,80,0,8,2,3,4,2,1,3
25,53,1.0,0.0,1282,0.0,5,3,0.0,1,32,3,1.0,58,3,5,0.0,3,1.0,19094,10735,4,1.0,1.0,11,3,4,80,1,26,3,2,14,13,4,8
26,32,0.0,0.0,1125,0.0,16,1,0.0,1,33,2,1.0,72,1,1,0.0,1,0.0,3919,4681,1,1.0,0.0,22,4,2,80,0,10,5,3,10,2,6,7
27,42,1.0,0.0,691,0.0,8,4,0.0,1,35,3,0.0,48,3,2,0.0,2,0.0,6825,21173,0,1.0,1.0,11,3,4,80,1,10,2,3,9,7,4,2
28,44,1.0,0.0,477,0.0,7,4,0.0,1,36,1,1.0,42,2,3,1.0,4,0.0,10248,2094,3,1.0,1.0,14,3,4,80,1,24,4,3,22,6,5,17
29,46,1.0,0.0,705,0.0,2,4,0.0,1,38,2,1.0,83,3,5,0.0,1,0.0,18947,22822,3,1.0,1.0,12,3,4,80,0,22,2,2,2,2,2,1
30,33,1.0,0.0,924,0.0,2,3,0.0,1,39,3,0.0,78,3,1,0.0,4,0.0,2496,6670,4,1.0,1.0,11,3,4,80,0,7,3,3,1,1,0,0
31,44,1.0,0.0,1459,0.0,10,4,0.0,1,40,4,0.0,41,3,2,1.0,4,0.0,6465,19121,2,1.0,0.0,13,3,4,80,0,9,5,4,4,2,1,3
32,30,1.0,0.0,125,0.0,9,2,0.0,1,41,4,0.0,83,2,1,0.0,3,0.0,2206,16117,1,1.0,1.0,13,3,1,80,0,10,5,3,10,0,1,8
33,39,0.0,0.0,895,0.0,5,3,0.0,1,42,4,0.0,56,3,2,0.0,4,0.0,2086,3335,3,1.0,1.0,14,3,3,80,1,19,6,4,1,0,0,0
34,24,0.0,0.0,813,0.0,1,3,0.0,1,45,2,0.0,61,3,1,0.0,4,0.0,2293,3020,2,1.0,0.0,16,3,1,80,1,6,2,2,2,0,2,0
35,43,1.0,0.0,1273,0.0,2,2,0.0,1,46,4,1.0,72,4,1,0.0,3,1.0,2645,21923,1,1.0,1.0,12,3,4,80,2,6,3,2,5,3,1,4
36,50,0.0,0.0,869,0.0,3,2,0.0,1,47,1,0.0,86,2,1,0.0,3,0.0,2683,3810,1,1.0,0.0,14,3,3,80,0,3,2,3,3,2,0,2
37,35,1.0,0.0,890,0.0,2,3,0.0,1,49,4,1.0,97,3,1,0.0,4,0.0,2014,9687,1,1.0,1.0,13,3,1,80,0,2,3,3,2,2,2,2
38,36,1.0,0.0,852,0.0,5,4,0.0,1,51,2,1.0,82,2,1,0.0,1,0.0,3419,13072,9,1.0,0.0,14,3,4,80,1,6,3,4,1,1,0,0
39,33,1.0,0.0,1141,0.0,1,3,0.0,1,52,3,1.0,42,4,2,0.0,1,0.0,5376,3193,2,1.0,1.0,19,3,1,80,2,10,3,3,5,3,1,3
40,35,1.0,0.0,464,0.0,4,2,0.0,1,53,3,0.0,75,3,1,0.0,4,1.0,1951,10910,1,1.0,1.0,12,3,3,80,1,1,3,3,1,0,0,0
41,27,1.0,0.0,1240,0.0,2,4,0.0,1,54,4,1.0,33,3,1,0.0,1,1.0,2341,19715,1,1.0,1.0,13,3,4,80,1,1,6,3,1,0,0,0
42,26,0.0,0.0,1357,0.0,25,3,0.0,1,55,1,0.0,48,1,1,0.0,3,0.0,2293,10558,1,1.0,1.0,12,3,3,80,0,1,2,2,1,0,0,1
43,27,1.0,0.0,994,0.0,8,3,0.0,1,56,4,0.0,37,3,3,0.0,3,0.0,8726,2975,1,1.0,1.0,15,3,4,80,0,9,0,3,9,8,1,7
44,30,1.0,0.0,721,0.0,1,2,0.0,1,57,3,1.0,58,3,2,0.0,4,0.0,4011,10781,1,1.0,1.0,23,4,4,80,0,12,2,3,12,8,3,7
45,41,0.0,0.0,1360,0.0,12,3,0.0,1,58,2,1.0,49,3,5,0.0,3,0.0,19545,16280,1,1.0,1.0,12,3,4,80,0,23,0,3,22,15,15,8
46,34,1.0,1.0,1065,0.0,23,4,0.0,1,60,2,0.0,72,3,2,0.0,3,0.0,4568,10034,0,1.0,1.0,20,4,3,80,0,10,2,3,9,5,8,7
47,37,1.0,0.0,408,0.0,19,2,0.0,1,61,2,0.0,73,3,1,0.0,2,0.0,3022,10227,4,1.0,1.0,21,4,1,80,0,8,1,3,1,0,0,0
48,46,1.0,0.0,1211,0.0,5,4,0.0,1,62,1,0.0,98,3,2,0.0,4,0.0,5772,20445,4,1.0,0.0,21,4,3,80,0,14,4,3,9,6,0,8
49,35,1.0,0.0,1229,0.0,8,1,0.0,1,63,4,0.0,36,4,1,0.0,4,0.0,2269,4892,1,1.0,1.0,19,3,4,80,0,1,2,3,1,0,0,1
50,48,0.0,0.0,626,0.0,1,2,0.0,1,64,1,0.0,98,2,3,0.0,3,0.0,5381,19294,9,1.0,0.0,13,3,4,80,0,23,2,3,1,0,0,0
51,28,0.0,0.0,1434,0.0,5,4,0.0,1,65,3,0.0,50,3,1,0.0,3,0.0,3441,11179,1,1.0,0.0,13,3,3,80,0,2,3,2,2,2,2,2
52,44,1.0,0.0,1488,0.0,1,5,0.0,1,68,2,1.0,75,3,2,0.0,1,1.0,5454,4009,5,1.0,0.0,21,4,3,80,1,9,2,2,4,3,1,3
53,35,1.0,1.0,1097,0.0,11,2,0.0,1,70,3,0.0,79,2,3,1.0,1,0.0,9884,8302,2,1.0,0.0,13,3,3,80,1,10,3,3,4,0,2,3
54,26,1.0,0.0,1443,0.0,23,3,0.0,1,72,3,1.0,47,2,2,0.0,4,0.0,4157,21436,7,1.0,0.0,19,3,3,80,1,5,2,2,2,2,0,0
55,33,1.0,0.0,515,0.0,1,2,0.0,1,73,1,1.0,98,3,3,0.0,4,0.0,13458,15146,1,1.0,0.0,12,3,3,80,0,15,1,3,15,14,8,12
56,35,1.0,0.0,853,0.0,18,5,0.0,1,74,2,0.0,71,3,3,0.0,1,0.0,9069,11031,1,1.0,1.0,22,4,4,80,1,9,3,2,9,8,1,8
57,35,1.0,0.0,1142,0.0,23,4,0.0,1,75,3,1.0,30,3,1,0.0,1,0.0,4014,16002,3,1.0,0.0,15,3,3,80,1,4,3,3,2,2,2,2
58,31,1.0,0.0,655,0.0,7,4,0.0,1,76,4,0.0,48,3,2,0.0,4,1.0,5915,9528,3,1.0,1.0,22,4,4,80,1,10,3,2,7,7,1,7
59,37,1.0,0.0,1115,0.0,1,4,0.0,1,77,1,0.0,51,2,2,0.0,3,1.0,5993,2689,1,1.0,1.0,18,3,3,80,1,7,2,4,7,5,0,7
60,32,1.0,0.0,427,0.0,1,3,0.0,1,78,1,0.0,33,3,2,0.0,4,0.0,6162,10877,1,1.0,0.0,22,4,2,80,1,9,3,3,9,8,7,8
61,38,1.0,0.0,653,0.0,29,5,0.0,1,79,4,1.0,50,3,2,0.0,4,0.0,2406,5456,1,1.0,1.0,11,3,4,80,0,10,2,3,10,3,9,9
62,50,1.0,0.0,989,0.0,7,2,0.0,1,80,2,1.0,43,2,5,0.0,3,1.0,18740,16701,5,1.0,0.0,12,3,4,80,1,29,2,2,27,3,13,8
63,59,1.0,0.0,1435,0.0,25,3,0.0,1,81,1,1.0,99,3,3,0.0,1,0.0,7637,2354,7,1.0,1.0,11,3,4,80,0,28,3,2,21,16,7,9
64,36,1.0,0.0,1223,0.0,8,3,0.0,1,83,3,1.0,59,3,3,1.0,3,1.0,10096,8202,1,1.0,1.0,13,3,2,80,3,17,2,3,17,14,12,8
65,55,1.0,0.0,836,0.0,8,3,0.0,1,84,4,1.0,33,3,4,0.0,3,1.0,14756,19730,2,1.0,0.0,14,3,3,80,3,21,2,3,5,0,0,2
66,36,1.0,0.0,1195,0.0,11,3,0.0,1,85,2,0.0,95,2,2,0.0,2,0.0,6499,22656,1,1.0,1.0,13,3,3,80,0,6,3,3,6,5,0,3
67,45,1.0,0.0,1339,0.0,7,3,0.0,1,86,2,0.0,59,3,3,0.0,1,1.0,9724,18787,2,1.0,1.0,17,3,3,80,1,25,2,3,1,0,0,0
68,35,1.0,0.0,664,0.0,1,3,0.0,1,88,2,0.0,79,3,1,0.0,1,0.0,2194,5868,4,1.0,1.0,13,3,4,80,1,5,2,2,3,2,1,2
69,36,0.0,0.0,318,0.0,9,3,0.0,1,90,4,0.0,79,2,1,0.0,3,0.0,3388,21777,0,1.0,0.0,17,3,1,80,1,2,0,2,1,0,0,0
70,59,1.0,0.0,1225,0.0,1,1,0.0,1,91,1,1.0,57,2,2,0.0,3,0.0,5473,24668,7,1.0,1.0,11,3,4,80,0,20,2,2,4,3,1,3
71,29,1.0,0.0,1328,0.0,2,3,0.0,1,94,3,0.0,76,3,1,0.0,2,0.0,2703,4956,0,1.0,1.0,23,4,4,80,1,6,3,3,5,4,0,4
72,31,1.0,0.0,1082,0.0,1,4,0.0,1,95,3,0.0,87,3,1,0.0,2,0.0,2501,18775,1,1.0,1.0,17,3,2,80,0,1,4,3,1,1,1,0
73,32,1.0,0.0,548,0.0,1,3,0.0,1,96,2,0.0,66,3,2,0.0,2,0.0,6220,7346,1,1.0,1.0,17,3,2,80,2,10,3,3,10,4,0,9
74,36,1.0,0.0,132,0.0,6,3,0.0,1,97,2,1.0,55,4,1,0.0,4,0.0,3038,22002,3,1.0,1.0,12,3,2,80,0,5,3,3,1,0,0,0
75,31,1.0,0.0,746,0.0,8,4,0.0,1,98,3,1.0,61,3,2,0.0,4,0.0,4424,20682,1,1.0,1.0,23,4,4,80,0,11,2,3,11,7,1,8
76,35,1.0,0.0,776,0.0,1,4,0.0,1,100,3,0.0,32,2,2,0.0,1,0.0,4312,23016,0,1.0,1.0,14,3,2,80,0,16,2,3,15,13,2,8
77,45,1.0,0.0,193,0.0,6,4,0.0,1,101,4,0.0,52,3,3,0.0,1,0.0,13245,15067,4,1.0,0.0,14,3,2,80,0,17,3,4,0,0,0,0
78,37,1.0,0.0,397,0.0,7,4,0.0,1,102,1,0.0,30,3,3,0.0,3,0.0,13664,25258,4,1.0,1.0,13,3,1,80,0,16,3,4,5,2,0,2
79,46,1.0,0.0,945,1.0,5,2,0.0,1,103,2,0.0,80,3,2,0.0,2,1.0,5021,10425,8,1.0,0.0,22,4,4,80,1,16,2,3,4,2,0,2
80,30,1.0,0.0,852,0.0,1,1,0.0,1,104,4,0.0,55,2,2,0.0,4,0.0,5126,15998,1,1.0,0.0,12,3,3,80,2,10,1,2,10,8,3,0
81,35,1.0,0.0,1214,0.0,1,3,0.0,1,105,2,0.0,30,2,1,0.0,3,0.0,2859,26278,1,1.0,1.0,18,3,1,80,0,6,3,3,6,4,0,4
82,55,1.0,0.0,111,0.0,1,2,0.0,1,106,1,0.0,70,3,3,0.0,4,0.0,10239,18092,3,1.0,1.0,14,3,4,80,1,24,4,3,1,0,1,0
83,38,1.0,1.0,573,0.0,6,3,0.0,1,107,2,1.0,79,1,2,0.0,4,1.0,5329,15717,7,1.0,0.0,12,3,4,80,3,17,3,3,13,11,1,9
84,34,1.0,0.0,1153,0.0,1,2,0.0,1,110,1,0.0,94,3,2,0.0,2,0.0,4325,17736,1,1.0,1.0,15,3,3,80,0,5,2,3,5,2,1,3
85,56,1.0,0.0,1400,0.0,7,3,0.0,1,112,4,0.0,49,1,3,0.0,4,0.0,7260,21698,4,1.0,1.0,11,3,1,80,0,37,3,2,6,4,0,2
86,23,1.0,0.0,541,0.0,2,1,0.0,1,113,3,0.0,62,3,1,0.0,1,1.0,2322,9518,3,1.0,1.0,13,3,3,80,1,3,3,3,0,0,0,0
87,51,1.0,0.0,432,0.0,9,4,0.0,1,116,4,0.0,96,3,1,0.0,4,0.0,2075,18725,3,1.0,1.0,23,4,2,80,2,10,4,3,4,2,0,3
88,30,1.0,0.0,288,0.0,2,3,0.0,1,117,3,0.0,99,2,2,1.0,4,0.0,4152,15830,1,1.0,1.0,19,3,1,80,3,11,3,3,11,10,10,8
89,46,0.0,0.0,669,0.0,9,2,0.0,1,118,3,0.0,64,2,3,0.0,4,0.0,9619,13596,1,1.0,1.0,16,3,4,80,0,9,3,3,9,8,4,7
90,40,1.0,0.0,530,0.0,1,4,0.0,1,119,3,0.0,78,2,4,1.0,2,0.0,13503,14115,1,1.0,1.0,22,4,4,80,1,22,3,2,22,3,11,11
91,51,1.0,0.0,632,0.0,21,4,0.0,1,120,3,0.0,71,3,2,0.0,4,0.0,5441,8423,0,1.0,0.0,22,4,4,80,0,11,2,1,10,7,1,0
92,30,1.0,0.0,1334,0.0,4,2,0.0,1,121,3,1.0,63,2,2,0.0,2,1.0,5209,19760,1,1.0,0.0,12,3,2,80,3,11,4,2,11,8,2,7
93,46,1.0,0.0,638,0.0,1,3,0.0,1,124,3,0.0,40,2,3,1.0,1,0.0,10673,3142,2,1.0,0.0,13,3,3,80,1,21,5,2,10,9,9,5
94,32,1.0,0.0,1093,0.0,6,4,0.0,1,125,2,0.0,87,3,2,0.0,3,0.0,5010,24301,1,1.0,1.0,16,3,1,80,0,12,0,3,11,8,5,7
95,54,1.0,0.0,1217,0.0,2,4,0.0,1,126,1,1.0,60,3,3,0.0,3,0.0,13549,24001,9,1.0,1.0,12,3,1,80,1,16,5,1,4,3,0,3
96,24,1.0,0.0,1353,0.0,3,2,0.0,1,128,1,1.0,33,3,2,0.0,3,0.0,4999,17519,0,1.0,1.0,21,4,1,80,1,4,2,2,3,2,0,2
97,28,1.0,1.0,120,0.0,4,3,0.0,1,129,2,0.0,43,3,2,0.0,3,0.0,4221,8863,1,1.0,1.0,15,3,2,80,0,5,3,4,5,4,0,4
98,58,1.0,0.0,682,0.0,10,4,0.0,1,131,4,0.0,37,3,4,0.0,3,0.0,13872,24409,0,1.0,1.0,13,3,3,80,0,38,1,2,37,10,1,8
99,44,1.0,1.0,489,0.0,23,3,0.0,1,132,2,0.0,67,3,2,0.0,2,0.0,2042,25043,4,1.0,1.0,12,3,3,80,1,17,3,4,3,2,1,2
100,37,0.0,0.0,807,1.0,6,4,1.0,1,133,3,0.0,63,3,1,0.0,1,1.0,2073,23648,4,1.0,0.0,22,4,4,80,0,7,3,3,3,2,0,2
101,32,1.0,0.0,827,0.0,1,1,0.0,1,134,4,0.0,71,3,1,0.0,1,0.0,2956,15178,1,1.0,1.0,13,3,4,80,0,1,2,3,1,0,0,0
102,20,0.0,0.0,871,0.0,6,3,0.0,1,137,4,1.0,66,2,1,0.0,4,0.0,2926,19783,1,1.0,0.0,18,3,2,80,0,1,5,3,1,0,1,0
103,34,1.0,0.0,665,0.0,6,4,0.0,1,138,1,1.0,41,3,2,0.0,3,0.0,4809,12482,1,1.0,1.0,14,3,3,80,0,16,3,3,16,13,2,10
104,37,1.0,1.0,1040,0.0,2,2,0.0,1,139,3,0.0,100,2,2,1.0,4,1.0,5163,15850,5,1.0,1.0,14,3,4,80,1,17,2,4,1,0,0,0
105,59,1.0,1.0,1420,1.0,2,4,1.0,1,140,3,1.0,32,2,5,0.0,4,0.0,18844,21922,9,1.0,1.0,21,4,4,80,1,30,3,3,3,2,2,2
106,50,1.0,0.0,1115,0.0,1,3,0.0,1,141,1,1.0,73,3,5,0.0,2,0.0,18172,9755,3,1.0,0.0,19,3,1,80,0,28,1,2,8,3,0,7
107,25,0.0,0.0,240,0.0,5,3,0.0,1,142,3,0.0,46,2,2,0.0,3,0.0,5744,26959,1,1.0,0.0,11,3,4,80,0,6,1,3,6,4,0,3
108,25,1.0,0.0,1280,0.0,7,1,0.0,1,143,4,0.0,64,2,1,0.0,4,0.0,2889,26897,1,1.0,1.0,11,3,3,80,2,2,2,3,2,2,2,1
109,22,1.0,0.0,534,0.0,15,3,0.0,1,144,2,1.0,59,3,1,0.0,4,0.0,2871,23785,1,1.0,1.0,15,3,3,80,0,1,5,3,0,0,0,0
110,51,1.0,0.0,1456,0.0,1,4,0.0,1,145,1,1.0,30,2,3,1.0,1,0.0,7484,25796,3,1.0,1.0,20,4,3,80,0,23,1,2,13,12,12,8
111,34,0.0,0.0,658,0.0,7,3,0.0,1,147,1,0.0,66,1,2,0.0,3,0.0,6074,22887,1,1.0,0.0,24,4,4,80,0,9,3,3,9,7,0,6
112,54,1.0,1.0,142,1.0,26,3,1.0,1,148,4,1.0,30,4,4,0.0,4,0.0,17328,13871,2,1.0,0.0,12,3,3,80,0,23,3,3,5,3,4,4
113,24,1.0,0.0,1127,0.0,18,1,0.0,1,150,2,0.0,52,3,1,0.0,3,0.0,2774,13257,0,1.0,1.0,12,3,3,80,1,6,2,3,5,3,1,2
114,34,1.0,0.0,1031,0.0,6,4,0.0,1,151,3,1.0,45,2,2,0.0,2,1.0,4505,15000,6,1.0,1.0,15,3,3,80,1,12,3,3,1,0,0,0
115,37,1.0,0.0,1189,0.0,3,3,0.0,1,152,3,0.0,87,3,3,0.0,4,0.0,7428,14506,2,1.0,1.0,12,3,1,80,0,12,3,3,5,3,1,3
116,34,1.0,0.0,1354,0.0,5,3,0.0,1,153,3,1.0,45,2,3,0.0,1,0.0,11631,5615,2,1.0,1.0,12,3,4,80,0,14,6,3,11,10,5,8
117,36,1.0,0.0,1467,0.0,11,2,0.0,1,154,2,1.0,92,3,3,0.0,4,0.0,9738,22952,0,1.0,1.0,14,3,3,80,1,10,6,3,9,7,2,8
118,36,1.0,0.0,922,0.0,3,2,0.0,1,155,1,1.0,39,3,1,0.0,4,1.0,2835,2561,5,1.0,1.0,22,4,1,80,1,7,2,3,1,0,0,0
119,43,1.0,0.0,394,0.0,26,2,0.0,1,158,3,0.0,92,3,4,0.0,4,0.0,16959,19494,1,1.0,0.0,12,3,4,80,2,25,3,4,25,12,4,12
120,30,1.0,0.0,1312,0.0,23,3,0.0,1,159,1,0.0,96,1,1,0.0,3,1.0,2613,22310,1,1.0,1.0,25,4,3,80,3,10,2,2,10,7,0,9
121,33,1.0,1.0,750,0.0,22,2,0.0,1,160,3,0.0,95,3,2,0.0,2,0.0,6146,15480,0,1.0,1.0,13,3,1,80,1,8,2,4,7,7,0,7
122,56,0.0,0.0,441,0.0,14,4,0.0,1,161,2,1.0,72,3,1,0.0,2,0.0,4963,4510,9,1.0,0.0,18,3,1,80,3,7,2,3,5,4,4,3
123,51,1.0,0.0,684,0.0,6,3,0.0,1,162,1,0.0,51,3,5,0.0,3,0.0,19537,6462,7,1.0,1.0,13,3,3,80,0,23,5,3,20,18,15,15
124,31,0.0,0.0,249,0.0,6,4,0.0,1,163,2,0.0,76,1,2,0.0,3,0.0,6172,20739,4,1.0,0.0,18,3,2,80,0,12,3,2,7,7,7,7
125,26,1.0,0.0,841,0.0,6,3,0.0,1,164,3,1.0,46,2,1,0.0,2,0.0,2368,23300,1,1.0,1.0,19,3,3,80,0,5,3,2,5,4,4,3
126,58,0.0,0.0,147,0.0,23,4,0.0,1,165,4,1.0,94,3,3,1.0,4,0.0,10312,3465,1,1.0,1.0,12,3,4,80,1,40,3,2,40,10,15,6
127,19,0.0,0.0,528,0.0,22,1,0.0,1,167,4,0.0,50,3,1,0.0,3,0.0,1675,26820,1,1.0,0.0,19,3,4,80,0,0,2,2,0,0,0,0
128,22,1.0,0.0,594,0.0,2,1,0.0,1,169,3,0.0,100,3,1,0.0,4,0.0,2523,19299,0,1.0,1.0,14,3,3,80,1,3,2,3,2,1,2,1
129,49,1.0,0.0,470,0.0,20,4,0.0,1,170,3,1.0,96,3,2,0.0,1,0.0,6567,5549,1,1.0,1.0,14,3,3,80,0,16,2,2,15,11,5,11
130,43,1.0,0.0,957,0.0,28,3,0.0,1,171,2,1.0,72,4,1,0.0,3,0.0,4739,16090,4,1.0,1.0,12,3,4,80,0,18,2,3,3,2,1,2
131,50,1.0,0.0,809,0.0,12,3,0.0,1,174,3,1.0,77,3,3,0.0,4,0.0,9208,6645,4,1.0,1.0,11,3,4,80,0,16,3,3,2,2,2,1
132,31,0.0,0.0,542,0.0,20,3,0.0,1,175,2,1.0,71,1,2,0.0,3,0.0,4559,24788,3,1.0,0.0,11,3,3,80,1,4,2,3,2,2,2,2
133,41,1.0,0.0,802,0.0,9,1,0.0,1,176,3,0.0,96,3,3,0.0,3,1.0,8189,21196,3,1.0,0.0,13,3,3,80,1,12,2,3,9,7,0,7
134,26,1.0,0.0,1355,1.0,25,1,0.0,1,177,3,1.0,61,3,1,0.0,3,0.0,2942,8916,1,1.0,1.0,23,4,4,80,1,8,3,3,8,7,5,7
135,36,1.0,0.0,216,0.0,6,2,0.0,1,178,2,0.0,84,3,2,0.0,2,1.0,4941,2819,6,1.0,1.0,20,4,4,80,2,7,0,3,3,2,0,1
136,51,0.0,0.0,1150,0.0,8,4,0.0,1,179,1,0.0,53,1,3,0.0,4,0.0,10650,25150,2,1.0,1.0,15,3,4,80,0,18,2,3,4,2,0,3
137,39,1.0,0.0,1329,0.0,4,4,0.0,1,182,4,1.0,47,2,2,0.0,3,0.0,5902,14590,4,1.0,1.0,14,3,3,80,1,17,1,4,15,11,5,9
138,25,1.0,0.0,959,0.0,28,3,0.0,1,183,1,0.0,41,2,2,0.0,3,0.0,8639,24835,2,1.0,1.0,18,3,4,80,0,6,3,3,2,2,2,2
139,30,1.0,0.0,1240,1.0,9,3,1.0,1,184,3,0.0,48,3,2,0.0,4,0.0,6347,13982,0,1.0,0.0,19,3,4,80,0,12,2,1,11,9,4,7
140,32,0.0,0.0,1033,0.0,9,3,0.0,1,190,1,1.0,41,3,1,0.0,1,0.0,4200,10224,7,1.0,1.0,22,4,1,80,0,10,2,4,5,4,0,4
141,45,1.0,0.0,1316,0.0,29,3,0.0,1,192,3,0.0,83,3,1,0.0,4,0.0,3452,9752,5,1.0,1.0,13,3,2,80,0,9,2,2,6,5,0,3
142,38,1.0,0.0,364,0.0,3,5,0.0,1,193,4,1.0,32,3,2,0.0,3,0.0,4317,2302,3,1.0,0.0,20,4,2,80,0,19,2,3,3,2,2,2
143,30,1.0,0.0,438,0.0,18,3,0.0,1,194,1,1.0,75,3,1,0.0,3,0.0,2632,23910,1,1.0,1.0,14,3,3,80,0,5,4,2,5,4,0,4
144,32,1.0,0.0,689,0.0,9,2,0.0,1,195,4,0.0,35,1,2,0.0,4,1.0,4668,22812,0,1.0,1.0,17,3,4,80,3,9,2,4,8,7,0,7
